PWM,Raw reading,Current (mA),
0,32,17.1875,
16,32,17.1875,
32,31,16.650390625,
48,31,16.650390625,
64,32,17.1875,
80,32,17.1875,
96,32,17.1875,
112,32,17.1875,
128,49,26.318359375,
144,96,51.56249999999999,
160,96,51.56249999999999,
176,120,64.453125,
192,127,68.21289062499999,
208,128,68.75,
224,128,68.75,
240,128,68.75,
256,159,85.40039062499999,
272,160,85.9375,
288,224,120.31249999999999,
304,247,132.66601562499997,
320,274,147.16796874999997,
336,283,152.001953125,
352,346,185.83984375,
368,374,200.87890625,
384,376,201.953125,
400,382,205.17578125,
416,410,220.21484375,
432,472,253.515625,
448,502,269.62890625,
464,535,287.353515625,
480,601,322.802734375,
496,625,335.693359375,
512,634,340.52734374999994,
528,665,357.177734375,
544,745,400.146484375,
560,782,420.01953125,
576,853,458.15429687499994,
592,878,471.58203124999994,
608,902,484.47265625,
624,975,523.681640625,
640,1026,551.0742187499999,
656,1099,590.283203125,
672,1127,605.322265625,
688,1158,621.9726562499999,
704,1234,662.79296875,
720,1283,689.111328125,
736,1368,734.765625,
752,1387,744.9707031249999,
768,1464,786.328125,
784,1523,818.017578125,
800,1606,862.5976562499999,
816,1633,877.099609375,
832,1712,919.5312499999999,
848,1765,947.998046875,
864,1855,996.337890625,
880,1887,1013.5253906249999,
896,1965,1055.419921875,
912,2015,1082.275390625,
928,2111,1133.8378906249998,
944,2141,1149.9511718749998,
960,2227,1196.1425781249998,
976,2292,1231.0546874999998,
992,2367,1271.3378906249998,
1008,2390,1283.69140625,
1024,2504,1344.9218749999998
