PWM,Raw reading,
0,6,
16,6,
32,6,
48,14,
64,21,
80,29,
96,31,
112,34,
128,35,
144,37,
160,61,
176,99,
192,109,
208,127,
224,127,
240,128,
256,130,
272,141,
288,162,
304,180,
320,228,
336,253,
352,279,
368,302,
384,350,
400,375,
416,379,
432,397,
448,412,
464,477,
480,508,
496,534,
512,599,
528,626,
544,634,
560,661,
576,728,
592,774,
608,843,
624,872,
640,882,
656,914,
672,989,
688,1033,
704,1109,
720,1131,
736,1158,
752,1235,
768,1282,
784,1361,
800,1383,
816,1417,
832,1501,
848,1590,
864,1626,
880,1650,
896,1735,
912,1793,
928,1838,
944,1838,
960,1838,
976,1835,
992,1791,
1008,1784,
1024,1776
